data	temperatura	opad
01.01.2019 00:00	-3,2	0
01.01.2019 01:00	-3	0
01.01.2019 02:00	-3,3	0
01.01.2019 03:00	-3,7	0
01.01.2019 04:00	-3,8	0
01.01.2019 05:00	-3,5	0
01.01.2019 06:00	-3,2	0
01.01.2019 07:00	-3	0
01.01.2019 08:00	-2,9	0
01.01.2019 09:00	-2,5	0
01.01.2019 10:00	-2,2	0,1
01.01.2019 11:00	-1,8	0
01.01.2019 12:00	-1,2	0,2
01.01.2019 13:00	-1,1	0,2
01.01.2019 14:00	-0,7	0,6
01.01.2019 15:00	-0,5	0,6
01.01.2019 16:00	-0,2	0,8
01.01.2019 17:00	0,2	2,5
01.01.2019 18:00	0,9	2,6
01.01.2019 19:00	1,1	0
01.01.2019 20:00	0,7	0,2
01.01.2019 21:00	-0,2	1,9
01.01.2019 22:00	0	1
01.01.2019 23:00	-1,4	1,2
02.01.2019 00:00	-2,4	0,1
02.01.2019 01:00	-2,4	0,5
02.01.2019 02:00	-2,3	0,3
02.01.2019 03:00	-2,9	0,7
02.01.2019 04:00	-3,1	1,2
02.01.2019 05:00	-3,1	1,3
02.01.2019 06:00	-3	0,4
02.01.2019 07:00	-3	0
02.01.2019 08:00	-3	0,3
02.01.2019 09:00	-3,1	0,9
02.01.2019 10:00	-3,2	0,9
02.01.2019 11:00	-3,2	0,9
02.01.2019 12:00	-3,3	1
02.01.2019 13:00	-3,5	1,2
02.01.2019 14:00	-4,1	0,4
02.01.2019 15:00	-4,3	0,5
02.01.2019 16:00	-4,5	0
02.01.2019 17:00	-4,8	0,1
02.01.2019 18:00	-5,1	0
02.01.2019 19:00	-5,5	0
02.01.2019 20:00	-5,8	0
02.01.2019 21:00	-6,1	0
02.01.2019 22:00	-6,6	0
02.01.2019 23:00	-6,8	0
